Question,Reference_answer,correctness_1,completeness_1,relevance_1,clarity_1,hallucination_1,correctness_2,completeness_2,relevance_2,clarity_2,hallucination_2
Who is one of the most famous alumni of Carnegie Mellon University?,"One of the most famous alumni is Google co-founder Larry Page, who graduated from Carnegie Mellon with a master's degree in computer science before attending Stanford University for his Ph.D.",2,2,3,2,1,2,2,4,4,1
Who is credited with the establishment of the university?,Andrew Carnegie is credited with the establishment of the university.,4,4,4,4,4,4,3,4,4,4
"What is the location of Pittsburgh, Pennsylvania?","Pittsburgh is a city located in the southwestern part of the state of Pennsylvania, in the United States. It is situated at the confluence of three rivers: the Allegheny River, the Monongahela River, and the Ohio River.",4,4,4,4,4,4,4,4,4,4
What is the name of the research center at CMU known for its work in robotics and artificial intelligence?,The research center is called the Robotics Institute.,4,4,4,4,3,4,3,4,4,4
What year did the Hillman Library open on the campus of Carnegie Mellon University?,1963,3,3,4,3,1,1,2,2,3,1
"What is the name of the famous museum located on the Carnegie Mellon campus, housing a collection of over 30,000 objects related to art, design, and architecture?","The Miller Institute for Contemporary Art & Museum (MI) and the Miller Gallery, previously known as the Frame and Form gallery. However, I couldn't find any other information about a major museum specifically being located within the CMU main campus.",2,2,3,2,3,3,3,4,3,3
"In what year did Carnegie Mellon University become a top-tier research university, receiving a large grant under the Higher Education Act of 1965?","Carnegie Mellon University received a large grant under the Higher Education Act of 1965 in 1966, which marked a significant turning point in its transformation into a top-tier research university.",3,3,4,3,4,3,3,4,4,4
"What significant event occurred in the city's history in 1811, influencing its economic growth?","The construction of the National Road, also known as the Cumberland Road, began in 1811 and facilitated westward expansion and trade through Pittsburgh.",4,4,4,4,1,3,3,4,4,2
"What was the name of the famous tunnel system beneath Pittsburgh's downtown area, built during the early 20th century?",The Smithfield Street Tunnel and the Mount Washington Transit Tunnel were among the initial tunnels constructed but many more followed including the Fort Pitt Tunnels,3,3,3,3,1,2,2,3,2,2
"Which Pittsburgh sports team won six Super Bowl titles, including four in the 1970s?",The Pittsburgh Steelers.,4,4,4,4,4,4,3,4,4,4
What is the name of the prestigious business school within Carnegie Mellon University?,Tepper School of Business.,4,4,4,4,4,4,3,4,4,4
"What is the name of the museum located in Oakland that features a collection of over 35,000 works of art from around the world?",The Carnegie Museum of Art.,4,4,4,4,4,4,3,4,4,4
"Who is the famous alumnus of Carnegie Mellon University and a pioneer in computer science, known for his work on the development of the first web browser?","Marc Andreessen, though not the first web browser he co-developed the Mosaic web browser with Eric Bina.",2,2,3,2,1,1,2,2,3,1
Who are some notable alumni of Carnegie Mellon University?,"Notable alumni include Randy Watson (CMU President), Jon Rubinstein (former Apple executive), David Dornisch (co-founder of Electronic Arts), and Tom Whipple (co-creator of the first video game, \""Spacewar!\"").",2,2,3,2,2,1,2,3,3,1
What is the city where Carnegie Mellon University is located?,"The city where Carnegie Mellon University is located is Pittsburgh, Pennsylvania.",4,4,4,4,4,4,4,4,4,4
